Path,Pitch,PercentSilence,FrequencyMagnitude
C:/Users/84338/OneDrive/Desktop/HTTM/CSDLDPT/data/dees/cricket_04.wav,"[97.44997, 102.45357, 101.05948, 67.75081, 80.14326, 104.53894, 83.571175]","[59.70521541950114, 58.42176870748299, 60.394557823129254, 59.96371882086168, 50.29931972789116, 50.430839002267575, 53.457137612433456]","[(313, 50.141954471967516), (42071, 545.513719403392), (44604, 9.925270580472006), (70586, 3.305753987345951), (109746, 9.925270580472011), (112279, 545.513719403392), (154037, 50.14195447196751)]"
C:/Users/84338/OneDrive/Desktop/HTTM/CSDLDPT/data/dees/cricket_05.wav,"[72.44255, 76.65932, 99.65377, 87.9721, 99.660965, 98.97183, 97.77286]","[59.6281179138322, 75.73242630385488, 66.85260770975057, 55.569160997732425, 56.285714285714285, 54.621315192743765, 58.22116250080668]","[(285, 54.84352500662366), (42000, 430.0288573564989), (44187, 10.371368046943529), (71476, 3.0828646705158693), (110163, 10.371368046943534), (112350, 430.0288573564989), (154065, 54.843525006623665)]"
C:/Users/84338/OneDrive/Desktop/HTTM/CSDLDPT/data/dees/cricket_06.wav,"[97.49238, 97.57672, 98.973076, 87.105995, 94.77601, 103.851776, 101.90983]","[59.977324263038554, 57.78231292517007, 56.92517006802721, 57.91383219954648, 56.00907029478458, 65.69614512471655, 62.45699127428104]","[(299, 51.144049193428955), (42078, 591.6986339369397), (44332, 10.935932102971705), (83893, 3.120657906001704), (110250, 11.213373051784655), (112272, 591.6986339369396), (154051, 51.14404919342896)]"
C:/Users/84338/OneDrive/Desktop/HTTM/CSDLDPT/data/dees/cricket_07.wav,"[96.800415, 88.504585, 90.585144, 97.580284, 103.84319, 101.06367, 77.11968]","[57.10657596371882, 60.19954648526077, 62.33560090702947, 57.147392290249435, 56.208616780045354, 56.73469387755102, 56.71038017505783]","[(312, 54.43157724622754), (41878, 497.653224918745), (44290, 12.77478838654324), (84328, 2.990726226147949), (110060, 12.774788386543252), (112472, 497.653224918745), (154038, 54.43157724622753)]"
C:/Users/84338/OneDrive/Desktop/HTTM/CSDLDPT/data/dees/cricket_08.wav,"[100.50986, 98.970085, 60.904156, 82.924126, 104.56774, 88.02206, 99.156685]","[56.507936507936506, 56.23129251700681, 58.26757369614513, 51.764172335600904, 69.27891156462584, 72.89795918367346, 59.29413043404423]","[(290, 52.641772587098366), (42093, 512.4152535862909), (44247, 11.50188282598907), (82382, 2.8591513108798594), (110103, 11.501882825989064), (112257, 512.4152535862909), (154060, 52.64177258709835)]"
C:/Users/84338/OneDrive/Desktop/HTTM/CSDLDPT/data/dees/cricket_09.wav,"[98.3506, 99.66773, 89.20969, 66.969154, 91.977936, 97.61054, 87.33453]","[55.6281179138322, 54.0, 56.78458049886621, 58.285714285714285, 51.33333333333333, 69.17913832199547, 55.13506353233679]","[(313, 56.41088360304044), (42071, 586.309213743508), (44557, 9.837943177127915), (81829, 3.563165145459847), (109793, 9.83794317712792), (112279, 586.3092137435079), (154037, 56.410883603040425)]"
C:/Users/84338/OneDrive/Desktop/HTTM/CSDLDPT/data/dees/cricket_10.wav,"[96.38112, 98.97088, 100.36065, 84.3299, 91.98962, 101.06061, 103.28613]","[55.55555555555556, 53.378684807256235, 56.27210884353742, 57.36507936507936, 56.63038548752834, 55.29251700680272, 56.86458322719136]","[(299, 68.93298630005465), (42050, 565.8367880681878), (44202, 13.65390311481051), (72659, 3.131472529310331), (110148, 13.653903114810506), (112300, 565.8367880681878), (154051, 68.93298630005465)]"
C:/Users/84338/OneDrive/Desktop/HTTM/CSDLDPT/data/ech/frig_05.wav,"[85.72448, 88.050865, 87.94683, 80.09966, 77.34153, 82.13067, 85.73325]","[55.609977324263035, 54.17687074829932, 55.27437641723356, 54.27210884353742, 54.12698412698413, 53.151927437641724, 59.49742256724597]","[(8630, 1140.2775964601503), (24919, 2.3812489711459417), (52119, 0.537082878294738), (82273, 0.13200675218825939), (102231, 0.5370828782947443), (129431, 2.381248971145948), (145720, 1140.2775964601506)]"
C:/Users/84338/OneDrive/Desktop/HTTM/CSDLDPT/data/ech/frog_01.wav,"[83.1803, 89.626114, 91.101105, 91.10746, 91.15654, 91.12385, 91.003746]","[46.71201814058957, 49.06122448979592, 50.38548752834467, 44.98866213151928, 52.12244897959184, 50.70294784580499, 56.160810727740554]","[(10373, 659.3186351032308), (25073, 8.726892313492996), (52391, 2.125749607915989), (70754, 0.3073349958015503), (101959, 2.1257496079159823), (129277, 8.726892313493005), (143977, 659.3186351032308)]"
C:/Users/84338/OneDrive/Desktop/HTTM/CSDLDPT/data/ech/frog_02.wav,"[81.29943, 84.03085, 81.34814, 83.07656, 84.92782, 82.07605, 85.73582]","[52.85714285714286, 63.224489795918366, 53.22902494331066, 59.337868480725625, 56.471655328798185, 56.290249433106574, 51.76863699033134]","[(8694, 1153.4379243901296), (25106, 2.637753734698652), (44523, 0.6994390479362933), (86484, 0.11208185557778197), (109827, 0.6994390479362964), (129244, 2.6377537346986473), (145656, 1153.4379243901296)]"
